Cellular Automaton Rules Discovery
Neighborhood Type: moore
Total Unique Patterns: 166
High Confidence Rules: 166

======================================================================

Inferred B/S Notation: B3/S23
Birth: [3]
Survival: [2, 3]
42. Pattern: 00010010 + state=0 → 0 (confidence: 1.00, n=39)
43. Pattern: 00001010 + state=0 → 0 (confidence: 1.00, n=39)
44. Pattern: 01001000 + state=1 → 1 (confidence: 1.00, n=28)
45. Pattern: 01010000 + state=1 → 1 (confidence: 1.00, n=28)
46. Pattern: 00010010 + state=1 → 1 (confidence: 1.00, n=28)
47. Pattern: 00001010 + state=1 → 1 (confidence: 1.00, n=28)
48. Pattern: 10111101 + state=0 → 0 (confidence: 1.00, n=26)
49. Pattern: 11100111 + state=0 → 0 (confidence: 1.00, n=26)
50. Pattern: 00001101 + state=1 → 1 (confidence: 1.00, n=26)
51. Pattern: 00010101 + state=1 → 1 (confidence: 1.00, n=26)
52. Pattern: 00100011 + state=1 → 1 (confidence: 1.00, n=26)
53. Pattern: 11000100 + state=1 → 1 (confidence: 1.00, n=26)
54. Pattern: 01100001 + state=1 → 1 (confidence: 1.00, n=26)
55. Pattern: 10000110 + state=1 → 1 (confidence: 1.00, n=26)
56. Pattern: 10110000 + state=1 → 1 (confidence: 1.00, n=26)
57. Pattern: 10101000 + state=1 → 1 (confidence: 1.00, n=26)
58. Pattern: 01011010 + state=0 → 0 (confidence: 1.00, n=24)
59. Pattern: 01100001 + state=0 → 1 (confidence: 1.00, n=14)
60. Pattern: 11000011 + state=0 → 0 (confidence: 1.00, n=14)
61. Pattern: 10000110 + state=0 → 1 (confidence: 1.00, n=14)
62. Pattern: 00100011 + state=0 → 1 (confidence: 1.00, n=14)
63. Pattern: 01100110 + state=0 → 0 (confidence: 1.00, n=14)
64. Pattern: 11000100 + state=0 → 1 (confidence: 1.00, n=14)
65. Pattern: 00010101 + state=0 → 1 (confidence: 1.00, n=14)
66. Pattern: 00001101 + state=0 → 1 (confidence: 1.00, n=14)
67. Pattern: 10011001 + state=0 → 0 (confidence: 1.00, n=14)
68. Pattern: 00111100 + state=0 → 0 (confidence: 1.00, n=14)
69. Pattern: 10101000 + state=0 → 1 (confidence: 1.00, n=14)
70. Pattern: 10110000 + state=0 → 1 (confidence: 1.00, n=14)
71. Pattern: 00101110 + state=0 → 0 (confidence: 1.00, n=13)
72. Pattern: 10010011 + state=0 → 0 (confidence: 1.00, n=13)
73. Pattern: 11001001 + state=0 → 0 (confidence: 1.00, n=13)
74. Pattern: 01110100 + state=0 → 0 (confidence: 1.00, n=13)
75. Pattern: 10010110 + state=0 → 0 (confidence: 1.00, n=13)
76. Pattern: 00101011 + state=0 → 0 (confidence: 1.00, n=13)
77. Pattern: 10010000 + state=1 → 1 (confidence: 1.00, n=13)
78. Pattern: 00101000 + state=1 → 1 (confidence: 1.00, n=13)
79. Pattern: 11101000 + state=0 → 0 (confidence: 1.00, n=13)
80. Pattern: 11000000 + state=1 → 1 (confidence: 1.00, n=13)
81. Pattern: 01100000 + state=1 → 1 (confidence: 1.00, n=13)
82. Pattern: 11110000 + state=0 → 0 (confidence: 1.00, n=13)
83. Pattern: 00001111 + state=0 → 0 (confidence: 1.00, n=13)
84. Pattern: 00000110 + state=1 → 1 (confidence: 1.00, n=13)
85. Pattern: 00000011 + state=1 → 1 (confidence: 1.00, n=13)
86. Pattern: 00010111 + state=0 → 0 (confidence: 1.00, n=13)
87. Pattern: 00010100 + state=1 → 1 (confidence: 1.00, n=13)
88. Pattern: 00001001 + state=1 → 1 (confidence: 1.00, n=13)
89. Pattern: 11010100 + state=0 → 0 (confidence: 1.00, n=13)
90. Pattern: 01101001 + state=0 → 0 (confidence: 1.00, n=13)
91. Pattern: 00010110 + state=0 → 1 (confidence: 1.00, n=12)
92. Pattern: 00001011 + state=0 → 1 (confidence: 1.00, n=12)
93. Pattern: 10101101 + state=1 → 0 (confidence: 1.00, n=12)
94. Pattern: 01010010 + state=1 → 1 (confidence: 1.00, n=12)
95. Pattern: 01001010 + state=1 → 1 (confidence: 1.00, n=12)
96. Pattern: 10110101 + state=1 → 0 (confidence: 1.00, n=12)
97. Pattern: 01101000 + state=0 → 1 (confidence: 1.00, n=12)
98. Pattern: 10100111 + state=1 → 0 (confidence: 1.00, n=12)
99. Pattern: 11010000 + state=0 → 1 (confidence: 1.00, n=12)
100. Pattern: 01011000 + state=1 → 1 (confidence: 1.00, n=12)
